request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_192,160.23,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the USD 1,000.00 minimum protected."
request_193,31.02,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-03-15,none,"Use installments to pay EUR 1,212.20. This keeps the EUR 1,000.00 minimum protected throughout the payment period."
request_194,39203.33,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the INR 113,600.00 minimum protected."
request_195,962.60,not_affordable,not_recommended,none,,none,Do not make this payment by the deadline. None of the available options keeps the EUR 700.00 minimum protected.
request_196,762.30,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500.00 available over the next 90 days.
request_197,20885886.64,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the IDR 26,245,900.00 minimum protected."
request_198,185800.00,affordable_now,full_payment,2026-07-07:185800.00,2026-07-07,none,"Pay INR 185,800.00 today. This leaves at least INR 124,300.00 available over the next 90 days."
request_199,23674000.00,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use installments to pay IDR 23,674,000.00. This keeps the IDR 25,359,500.00 minimum protected throughout the payment period."
request_200,21717000.00,affordable_now,full_payment,2025-02-06:21717000.00,2025-02-06,none,"Pay IDR 21,717,000.00 today. This leaves at least IDR 20,114,600.00 available over the next 90 days."
request_201,23997000.00,affordable_now,full_payment,2026-04-03:23997000.00,2026-04-03,none,"Pay IDR 23,997,000.00 today. This leaves at least IDR 17,304,500.00 available over the next 90 days."
request_202,123900.00,affordable_now,full_payment,2024-12-05:123900.00,2024-12-05,none,"Pay INR 123,900.00 today. This leaves at least INR 147,800.00 available over the next 90 days."
request_203,1442.10,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use installments to pay EUR 1,442.10. This keeps the EUR 1,400.00 minimum protected throughout the payment period."
request_204,567.13,affordable_later,wait,none,2026-01-15,none,"Pay EUR 588.74 in full on 2026-01-15. Paying earlier would take the balance below the EUR 1,300.00 minimum."
request_205,10621000.00,affordable_now,full_payment,2024-03-06:10621000.00,2024-03-06,none,"Pay IDR 10,621,000.00 today. This leaves at least IDR 13,994,300.00 available over the next 90 days."
request_206,1404.70,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use installments to pay EUR 1,404.70. This keeps the EUR 900.00 minimum protected throughout the payment period."
request_207,4417.91,affordable_later,wait,none,2026-07-15,none,"Pay ZAR 11,830.00 in full on 2026-07-15. Paying earlier would take the balance below the ZAR 13,600.00 minimum."
request_208,3015814.29,affordable_later,wait,none,2024-06-15,none,"Pay IDR 4,413,000.00 in full on 2024-06-15. Paying earlier would take the balance below the IDR 10,470,700.00 minimum."
request_209,1598.10,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the ZAR 18,400.00 minimum protected."
request_210,991.13,affordable_with_plan,partial_payment,2026-04-06:991.13|2026-04-15:368.89,2026-04-15,none,"Pay USD 991.13 today and the remaining USD 368.89 on 2026-04-15. This completes the full request and keeps the USD 2,000.00 minimum protected."
request_211,265.15,affordable_later,wait,none,2024-11-15,none,"Pay EUR 1,788.60 in full on 2024-11-15. Paying earlier would take the balance below the EUR 1,500.00 minimum."
request_212,5599242.98,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the IDR 29,579,800.00 minimum protected."
request_213,3362.40,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Use installments to pay USD 3,362.40. This keeps the USD 2,100.00 minimum protected throughout the payment period."
request_214,41804.88,affordable_with_plan,installments,2024-12-04:36270.00|2025-01-01:36270.00,2024-12-15,none,"Use installments to pay INR 69,750.00. This keeps the INR 174,900.00 minimum protected throughout the payment period."
request_215,29986.00,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use installments to pay ZAR 29,986.00. This keeps the ZAR 15,700.00 minimum protected throughout the payment period."
request_216,477.27,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the USD 1,800.00 minimum protected."
request_217,19532.65,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,,none,"Use installments to pay ZAR 37,180.00. This keeps the ZAR 26,800.00 minimum protected throughout the payment period."
request_218,24459217.70,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use installments to pay IDR 61,142,000.00. This keeps the IDR 34,477,200.00 minimum protected throughout the payment period."
request_219,1353.33,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-04-15,none,"Use installments to pay EUR 1,673.10. This keeps the EUR 1,100.00 minimum protected throughout the payment period."
request_220,74.93,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the EUR 1,100.00 minimum protected."
request_221,109800.00,affordable_now,full_payment,2025-11-03:109800.00,2025-11-03,none,"Pay INR 109,800.00 today. This leaves at least INR 81,500.00 available over the next 90 days."
request_222,34078.00,affordable_now,full_payment,2026-01-05:34078.00,2026-01-05,none,"Pay ZAR 34,078.00 today. This leaves at least ZAR 27,300.00 available over the next 90 days."
request_223,898.70,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 today. This leaves at least EUR 800.00 available over the next 90 days.
request_224,10327000.00,affordable_with_plan,installments,2025-02-04:5370040.00|2025-03-04:5370040.00,2025-02-04,none,"Use installments to pay IDR 10,327,000.00. This keeps the IDR 22,187,600.00 minimum protected throughout the payment period."
request_225,9636373.34,affordable_with_plan,installments,2026-07-20:7647120.00|2026-08-19:7647120.00|2026-09-18:7647120.00,,none,"Use installments to pay IDR 22,059,000.00. This keeps the IDR 17,670,700.00 minimum protected throughout the payment period."
request_226,157000.00,affordable_now,full_payment,2024-12-03:157000.00,2024-12-03,none,"Pay INR 157,000.00 today. This leaves at least INR 209,400.00 available over the next 90 days."
request_227,7161.65,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the INR 62,900.00 minimum protected."
request_228,4643600.88,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the IDR 26,191,200.00 minimum protected."
request_229,512.06,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Use installments to pay EUR 1,526.80. This keeps the EUR 1,000.00 minimum protected throughout the payment period."
request_230,3537.60,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,"Pay EUR 3,537.60 today. This leaves at least EUR 2,000.00 available over the next 90 days."
request_231,30824.68,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the ZAR 24,300.00 minimum protected."
request_232,603.94,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the EUR 2,400.00 minimum protected."
request_233,0.00,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the IDR 10,365,700.00 minimum protected."
request_234,180.94,affordable_later,wait,none,2026-09-15,none,"Pay EUR 1,213.30 in full on 2026-09-15. Paying earlier would take the balance below the EUR 700.00 minimum."
request_235,967.20,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today. This leaves at least USD 700.00 available over the next 90 days.
request_236,5890616.77,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the IDR 16,768,600.00 minimum protected."
request_237,23826000.00,affordable_now,full_payment,2026-04-05:23826000.00,2026-04-05,none,"Pay IDR 23,826,000.00 today. This leaves at least IDR 22,431,500.00 available over the next 90 days."
request_238,663.60,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,Use installments to pay USD 663.60. This keeps the USD 700.00 minimum protected throughout the payment period.
request_239,642.00,affordable_now,full_payment,2025-05-04:642.00,2025-05-04,none,Pay USD 642.00 today. This leaves at least USD 600.00 available over the next 90 days.
request_240,13949.09,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the INR 52,800.00 minimum protected."
request_241,21052000.00,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use installments to pay IDR 21,052,000.00. This keeps the IDR 19,252,000.00 minimum protected throughout the payment period."
request_242,0.00,not_affordable,not_recommended,none,,none,Do not make this payment by the deadline. None of the available options keeps the EUR 600.00 minimum protected.
request_243,17468.00,affordable_now,full_payment,2026-07-07:17468.00,2026-07-07,none,"Pay ZAR 17,468.00 today. This leaves at least ZAR 19,900.00 available over the next 90 days."
request_244,49918.00,affordable_now,full_payment,2024-06-04:49918.00,2024-06-04,none,"Pay ZAR 49,918.00 today. This leaves at least ZAR 45,900.00 available over the next 90 days."
request_245,23807.10,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the INR 94,600.00 minimum protected."
request_246,64086.00,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use installments to pay ZAR 64,086.00. This keeps the ZAR 39,300.00 minimum protected throughout the payment period."
request_247,1059.30,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,"Pay EUR 1,059.30 today. This leaves at least EUR 1,300.00 available over the next 90 days."
request_248,935.13,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the USD 1,300.00 minimum protected."
request_249,126.87,not_affordable,not_recommended,none,,none,Do not make this payment by the deadline. None of the available options keeps the USD 600.00 minimum protected.
request_250,15480.52,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the ZAR 35,300.00 minimum protected."
request_251,1513.60,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the EUR 1,300.00 minimum protected."
request_252,3991159.20,affordable_later,wait,none,2026-09-15,none,"Pay IDR 28,082,000.00 in full on 2026-09-15. Paying earlier would take the balance below the IDR 15,152,200.00 minimum."
request_253,1371.57,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,,none,"Use installments to pay EUR 2,840.20. This keeps the EUR 2,300.00 minimum protected throughout the payment period."
request_254,880.46,affordable_later,wait,none,2025-09-15,none,"Pay USD 3,535.20 in full on 2025-09-15. Paying earlier would take the balance below the USD 2,500.00 minimum."
request_255,3345000.00,affordable_now,full_payment,2026-04-06:3345000.00,2026-04-06,none,"Pay IDR 3,345,000.00 today. This leaves at least IDR 9,813,900.00 available over the next 90 days."
request_256,152538.57,affordable_with_plan,installments,2024-06-10:75816.00|2024-07-11:75816.00|2024-08-11:75816.00,2024-07-15,none,"Use installments to pay INR 218,700.00. This keeps the INR 168,600.00 minimum protected throughout the payment period."
request_257,315.33,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the USD 1,600.00 minimum protected."
request_258,1113.60,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,"Pay USD 1,113.60 today. This leaves at least USD 500.00 available over the next 90 days."
request_259,494.81,affordable_later,wait,none,2024-09-15,none,Pay EUR 935.00 in full on 2024-09-15. Paying earlier would take the balance below the EUR 600.00 minimum.
request_260,8323661.20,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the IDR 20,727,700.00 minimum protected."
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,"Pay EUR 1,830.40 today. This leaves at least EUR 1,500.00 available over the next 90 days."
request_262,9236000.00,affordable_now,full_payment,2024-12-05:9236000.00,2024-12-05,none,"Pay IDR 9,236,000.00 today. This leaves at least IDR 31,018,500.00 available over the next 90 days."
request_263,5769.19,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the ZAR 24,100.00 minimum protected."
request_264,23451.56,affordable_later,wait,none,2026-06-15,none,"Pay INR 111,300.00 in full on 2026-06-15. Paying earlier would take the balance below the INR 59,500.00 minimum."
request_265,45970.00,affordable_now,full_payment,2024-03-06:45970.00,2024-03-06,none,"Pay INR 45,970.00 today. This leaves at least INR 189,700.00 available over the next 90 days."
request_266,935.00,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,Use installments to pay EUR 935.00. This keeps the EUR 900.00 minimum protected throughout the payment period.
request_267,1642.24,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-15,none,"Use installments to pay EUR 1,925.00. This keeps the EUR 1,500.00 minimum protected throughout the payment period."
request_268,1046.90,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use installments to pay EUR 2,426.60. This keeps the EUR 1,400.00 minimum protected throughout the payment period."
request_269,0.00,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the ZAR 23,100.00 minimum protected."
request_270,101.27,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the USD 1,400.00 minimum protected."
request_271,13612.75,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the INR 58,200.00 minimum protected."
request_272,5415032.83,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"Use installments to pay IDR 13,585,000.00. This keeps the IDR 7,508,600.00 minimum protected throughout the payment period."
request_273,9553277.23,affordable_with_plan,partial_payment,2026-04-07:9553277.23|2026-04-15:6307722.77,2026-04-15,none,"Pay IDR 9,553,277.23 today and the remaining IDR 6,307,722.77 on 2026-04-15. This completes the full request and keeps the IDR 18,774,600.00 minimum protected."
request_274,2119.35,not_affordable,not_recommended,none,,none,"Do not make this payment by the deadline. None of the available options keeps the EUR 1,800.00 minimum protected."
request_275,15884000.00,affordable_now,full_payment,2025-05-06:15884000.00,2025-05-06,none,"Pay IDR 15,884,000.00 today. This leaves at least IDR 12,760,100.00 available over the next 90 days."
